Movement ID,Date,Product ID,Product Name,Movement Type,Quantity,Reference,Source/Destination,Recorded By,Notes
STOCK-000186,2026-07-10,PROD-000093,Caramel Cream,Stock Received,935.0,GRN-000186,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000187,2026-06-15,PROD-000094,Family Pack,Opening Stock,2104.0,OPEN-PROD-000094,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000188,2026-08-12,PROD-000094,Family Pack,Stock Received,473.0,GRN-000188,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000189,2026-06-15,PROD-000095,Milk Crunch,Opening Stock,1220.0,OPEN-PROD-000095,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000190,2026-07-22,PROD-000095,Milk Crunch,Stock Received,421.0,GRN-000190,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000191,2026-06-15,PROD-000096,Butter Delight,Opening Stock,1650.0,OPEN-PROD-000096,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000192,2026-08-06,PROD-000096,Butter Delight,Stock Received,543.0,GRN-000192,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000193,2026-06-15,PROD-000097,Family Pack,Opening Stock,1771.0,OPEN-PROD-000097,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000194,2026-07-09,PROD-000097,Family Pack,Stock Received,674.0,GRN-000194,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000195,2026-06-15,PROD-000098,Chocolate Delight,Opening Stock,2038.0,OPEN-PROD-000098,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000196,2026-07-08,PROD-000098,Chocolate Delight,Stock Received,539.0,GRN-000196,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000197,2026-06-15,PROD-000099,Honey Crunch,Opening Stock,1103.0,OPEN-PROD-000099,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000198,2026-07-02,PROD-000099,Honey Crunch,Stock Received,649.0,GRN-000198,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000199,2026-06-15,PROD-000100,Cocoa Sandwich,Opening Stock,1638.0,OPEN-PROD-000100,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000200,2026-08-07,PROD-000100,Cocoa Sandwich,Stock Received,371.0,GRN-000200,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000201,2026-06-15,PROD-000101,Coconut Crunch,Opening Stock,2100.0,OPEN-PROD-000101,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000202,2026-08-07,PROD-000101,Coconut Crunch,Stock Received,640.0,GRN-000202,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000203,2026-06-15,PROD-000102,Chocolate Delight,Opening Stock,1393.0,OPEN-PROD-000102,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000204,2026-08-07,PROD-000102,Chocolate Delight,Stock Received,450.0,GRN-000204,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000205,2026-06-15,PROD-000103,Strawberry Cream,Opening Stock,1901.0,OPEN-PROD-000103,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000206,2026-07-22,PROD-000103,Strawberry Cream,Stock Received,223.0,GRN-000206,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000207,2026-06-15,PROD-000104,Family Pack,Opening Stock,1979.0,OPEN-PROD-000104,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000208,2026-07-03,PROD-000104,Family Pack,Stock Received,479.0,GRN-000208,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000209,2026-06-15,PROD-000105,Coconut Crunch,Opening Stock,1790.0,OPEN-PROD-000105,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000210,2026-07-12,PROD-000105,Coconut Crunch,Stock Received,317.0,GRN-000210,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000211,2026-06-15,PROD-000106,Coconut Crunch,Opening Stock,1142.0,OPEN-PROD-000106,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000212,2026-07-07,PROD-000106,Coconut Crunch,Stock Received,666.0,GRN-000212,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000213,2026-06-15,PROD-000107,Cocoa Sandwich,Opening Stock,630.0,OPEN-PROD-000107,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000214,2026-07-24,PROD-000107,Cocoa Sandwich,Stock Received,696.0,GRN-000214,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000215,2026-06-15,PROD-000108,Butter Delight,Opening Stock,830.0,OPEN-PROD-000108,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000216,2026-07-28,PROD-000108,Butter Delight,Stock Received,634.0,GRN-000216,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000217,2026-06-15,PROD-000109,Milk Crunch,Opening Stock,628.0,OPEN-PROD-000109,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000218,2026-07-18,PROD-000109,Milk Crunch,Stock Received,128.0,GRN-000218,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000219,2026-06-15,PROD-000110,Cocoa Sandwich,Opening Stock,2090.0,OPEN-PROD-000110,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000220,2026-07-18,PROD-000110,Cocoa Sandwich,Stock Received,626.0,GRN-000220,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000221,2026-06-15,PROD-000111,Premium Wafer,Opening Stock,531.0,OPEN-PROD-000111,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000222,2026-08-07,PROD-000111,Premium Wafer,Stock Received,217.0,GRN-000222,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000223,2026-06-15,PROD-000112,Vanilla Cream,Opening Stock,981.0,OPEN-PROD-000112,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000224,2026-07-25,PROD-000112,Vanilla Cream,Stock Received,147.0,GRN-000224,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000225,2026-06-15,PROD-000113,Classic Crackers,Opening Stock,751.0,OPEN-PROD-000113,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000226,2026-07-01,PROD-000113,Classic Crackers,Stock Received,292.0,GRN-000226,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000227,2026-06-15,PROD-000114,Premium Wafer,Opening Stock,1649.0,OPEN-PROD-000114,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000228,2026-07-24,PROD-000114,Premium Wafer,Stock Received,817.0,GRN-000228,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000229,2026-06-15,PROD-000115,Butter Delight,Opening Stock,2096.0,OPEN-PROD-000115,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000230,2026-07-06,PROD-000115,Butter Delight,Stock Received,1033.0,GRN-000230,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000231,2026-06-15,PROD-000116,Golden Crunch,Opening Stock,1781.0,OPEN-PROD-000116,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000232,2026-07-19,PROD-000116,Golden Crunch,Stock Received,177.0,GRN-000232,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000233,2026-06-15,PROD-000117,Rich Chocolate,Opening Stock,1147.0,OPEN-PROD-000117,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000234,2026-07-06,PROD-000117,Rich Chocolate,Stock Received,541.0,GRN-000234,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000235,2026-06-15,PROD-000118,Caramel Cream,Opening Stock,1447.0,OPEN-PROD-000118,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000236,2026-07-01,PROD-000118,Caramel Cream,Stock Received,972.0,GRN-000236,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000237,2026-06-15,PROD-000119,Strawberry Cream,Opening Stock,744.0,OPEN-PROD-000119,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000238,2026-07-12,PROD-000119,Strawberry Cream,Stock Received,866.0,GRN-000238,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000239,2026-06-15,PROD-000120,Honey Crunch,Opening Stock,1895.0,OPEN-PROD-000120,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000240,2026-07-20,PROD-000120,Honey Crunch,Stock Received,615.0,GRN-000240,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000241,2026-06-15,PROD-000121,Caramel Cream,Opening Stock,1097.0,OPEN-PROD-000121,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000242,2026-08-10,PROD-000121,Caramel Cream,Stock Received,829.0,GRN-000242,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000243,2026-06-15,PROD-000122,Chocolate Delight,Opening Stock,2006.0,OPEN-PROD-000122,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000244,2026-08-12,PROD-000122,Chocolate Delight,Stock Received,994.0,GRN-000244,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000245,2026-06-15,PROD-000123,Cocoa Sandwich,Opening Stock,1076.0,OPEN-PROD-000123,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000246,2026-07-26,PROD-000123,Cocoa Sandwich,Stock Received,776.0,GRN-000246,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000247,2026-06-15,PROD-000124,Classic Cream,Opening Stock,1989.0,OPEN-PROD-000124,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000248,2026-07-25,PROD-000124,Classic Cream,Stock Received,350.0,GRN-000248,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000249,2026-06-15,PROD-000125,Vanilla Cream,Opening Stock,2072.0,OPEN-PROD-000125,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000250,2026-07-24,PROD-000125,Vanilla Cream,Stock Received,953.0,GRN-000250,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000251,2026-06-15,PROD-000126,Caramel Cream,Opening Stock,1699.0,OPEN-PROD-000126,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000252,2026-07-10,PROD-000126,Caramel Cream,Stock Received,141.0,GRN-000252,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000253,2026-06-15,PROD-000127,Strawberry Cream,Opening Stock,1201.0,OPEN-PROD-000127,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000254,2026-07-09,PROD-000127,Strawberry Cream,Stock Received,504.0,GRN-000254,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000255,2026-06-15,PROD-000128,Butter Delight,Opening Stock,614.0,OPEN-PROD-000128,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000256,2026-08-03,PROD-000128,Butter Delight,Stock Received,330.0,GRN-000256,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000257,2026-06-15,PROD-000129,Vanilla Cream,Opening Stock,1767.0,OPEN-PROD-000129,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000258,2026-08-06,PROD-000129,Vanilla Cream,Stock Received,351.0,GRN-000258,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000259,2026-06-15,PROD-000130,Golden Crunch,Opening Stock,576.0,OPEN-PROD-000130,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000260,2026-07-11,PROD-000130,Golden Crunch,Stock Received,357.0,GRN-000260,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000261,2026-06-15,PROD-000131,Cocoa Sandwich,Opening Stock,1225.0,OPEN-PROD-000131,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000262,2026-08-12,PROD-000131,Cocoa Sandwich,Stock Received,718.0,GRN-000262,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000263,2026-06-15,PROD-000132,Golden Crunch,Opening Stock,1369.0,OPEN-PROD-000132,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000264,2026-07-22,PROD-000132,Golden Crunch,Stock Received,358.0,GRN-000264,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000265,2026-06-15,PROD-000133,Cocoa Sandwich,Opening Stock,1350.0,OPEN-PROD-000133,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000266,2026-07-20,PROD-000133,Cocoa Sandwich,Stock Received,886.0,GRN-000266,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000267,2026-06-15,PROD-000134,Golden Crunch,Opening Stock,990.0,OPEN-PROD-000134,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000268,2026-07-02,PROD-000134,Golden Crunch,Stock Received,962.0,GRN-000268,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000269,2026-06-15,PROD-000135,Coconut Crunch,Opening Stock,949.0,OPEN-PROD-000135,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000270,2026-08-02,PROD-000135,Coconut Crunch,Stock Received,356.0,GRN-000270,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000271,2026-06-15,PROD-000136,Classic Crackers,Opening Stock,1611.0,OPEN-PROD-000136,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000272,2026-07-02,PROD-000136,Classic Crackers,Stock Received,158.0,GRN-000272,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000273,2026-06-15,PROD-000137,Honey Crunch,Opening Stock,1968.0,OPEN-PROD-000137,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000274,2026-07-28,PROD-000137,Honey Crunch,Stock Received,912.0,GRN-000274,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000275,2026-06-15,PROD-000138,Classic Cream,Opening Stock,2110.0,OPEN-PROD-000138,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000276,2026-07-30,PROD-000138,Classic Cream,Stock Received,402.0,GRN-000276,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000277,2026-06-15,PROD-000139,Caramel Cream,Opening Stock,547.0,OPEN-PROD-000139,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000278,2026-07-27,PROD-000139,Caramel Cream,Stock Received,133.0,GRN-000278,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000279,2026-06-15,PROD-000140,Premium Wafer,Opening Stock,1608.0,OPEN-PROD-000140,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000280,2026-07-18,PROD-000140,Premium Wafer,Stock Received,1080.0,GRN-000280,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000281,2026-06-15,PROD-000141,Classic Crackers,Opening Stock,1040.0,OPEN-PROD-000141,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000282,2026-08-05,PROD-000141,Classic Crackers,Stock Received,744.0,GRN-000282,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000283,2026-06-15,PROD-000142,Coconut Crunch,Opening Stock,1783.0,OPEN-PROD-000142,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000284,2026-08-02,PROD-000142,Coconut Crunch,Stock Received,283.0,GRN-000284,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000285,2026-06-15,PROD-000143,Cocoa Sandwich,Opening Stock,1632.0,OPEN-PROD-000143,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000286,2026-07-03,PROD-000143,Cocoa Sandwich,Stock Received,177.0,GRN-000286,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000287,2026-06-15,PROD-000144,Golden Crunch,Opening Stock,2187.0,OPEN-PROD-000144,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000288,2026-07-28,PROD-000144,Golden Crunch,Stock Received,1152.0,GRN-000288,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000289,2026-06-15,PROD-000145,Golden Crunch,Opening Stock,1197.0,OPEN-PROD-000145,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000290,2026-07-24,PROD-000145,Golden Crunch,Stock Received,1165.0,GRN-000290,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000291,2026-06-15,PROD-000146,Cocoa Sandwich,Opening Stock,615.0,OPEN-PROD-000146,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000292,2026-07-04,PROD-000146,Cocoa Sandwich,Stock Received,123.0,GRN-000292,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000293,2026-06-15,PROD-000147,Butter Delight,Opening Stock,997.0,OPEN-PROD-000147,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000294,2026-08-10,PROD-000147,Butter Delight,Stock Received,1063.0,GRN-000294,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000295,2026-06-15,PROD-000148,Honey Crunch,Opening Stock,954.0,OPEN-PROD-000148,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000296,2026-08-04,PROD-000148,Honey Crunch,Stock Received,1141.0,GRN-000296,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000297,2026-06-15,PROD-000149,Cocoa Sandwich,Opening Stock,2026.0,OPEN-PROD-000149,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000298,2026-07-21,PROD-000149,Cocoa Sandwich,Stock Received,917.0,GRN-000298,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000299,2026-06-15,PROD-000150,Chocolate Delight,Opening Stock,2118.0,OPEN-PROD-000150,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000300,2026-07-09,PROD-000150,Chocolate Delight,Stock Received,576.0,GRN-000300,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000301,2026-06-15,PROD-000151,Premium Wafer,Opening Stock,2197.0,OPEN-PROD-000151,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000302,2026-07-23,PROD-000151,Premium Wafer,Stock Received,664.0,GRN-000302,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000303,2026-06-15,PROD-000152,Cocoa Sandwich,Opening Stock,911.0,OPEN-PROD-000152,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000304,2026-07-22,PROD-000152,Cocoa Sandwich,Stock Received,867.0,GRN-000304,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000305,2026-06-15,PROD-000153,Milk Crunch,Opening Stock,1440.0,OPEN-PROD-000153,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000306,2026-07-09,PROD-000153,Milk Crunch,Stock Received,1037.0,GRN-000306,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000307,2026-06-15,PROD-000154,Strawberry Cream,Opening Stock,2161.0,OPEN-PROD-000154,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000308,2026-07-01,PROD-000154,Strawberry Cream,Stock Received,1070.0,GRN-000308,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000309,2026-06-15,PROD-000155,Premium Wafer,Opening Stock,1689.0,OPEN-PROD-000155,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000310,2026-08-01,PROD-000155,Premium Wafer,Stock Received,739.0,GRN-000310,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000311,2026-06-15,PROD-000156,Family Pack,Opening Stock,824.0,OPEN-PROD-000156,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000312,2026-08-04,PROD-000156,Family Pack,Stock Received,940.0,GRN-000312,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000313,2026-06-15,PROD-000157,Honey Crunch,Opening Stock,1492.0,OPEN-PROD-000157,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000314,2026-07-22,PROD-000157,Honey Crunch,Stock Received,110.0,GRN-000314,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000315,2026-06-15,PROD-000158,Cocoa Sandwich,Opening Stock,2166.0,OPEN-PROD-000158,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000316,2026-06-30,PROD-000158,Cocoa Sandwich,Stock Received,1171.0,GRN-000316,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000317,2026-06-15,PROD-000159,Honey Crunch,Opening Stock,1336.0,OPEN-PROD-000159,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000318,2026-07-04,PROD-000159,Honey Crunch,Stock Received,176.0,GRN-000318,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000319,2026-06-15,PROD-000160,Premium Wafer,Opening Stock,853.0,OPEN-PROD-000160,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000320,2026-07-25,PROD-000160,Premium Wafer,Stock Received,272.0,GRN-000320,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000321,2026-06-15,PROD-000161,Classic Crackers,Opening Stock,1263.0,OPEN-PROD-000161,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000322,2026-08-05,PROD-000161,Classic Crackers,Stock Received,642.0,GRN-000322,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000323,2026-06-15,PROD-000162,Rich Chocolate,Opening Stock,1963.0,OPEN-PROD-000162,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000324,2026-08-12,PROD-000162,Rich Chocolate,Stock Received,306.0,GRN-000324,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000325,2026-06-15,PROD-000163,Family Pack,Opening Stock,1592.0,OPEN-PROD-000163,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000326,2026-06-30,PROD-000163,Family Pack,Stock Received,544.0,GRN-000326,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000327,2026-06-15,PROD-000164,Caramel Cream,Opening Stock,1692.0,OPEN-PROD-000164,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000328,2026-07-08,PROD-000164,Caramel Cream,Stock Received,728.0,GRN-000328,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000329,2026-06-15,PROD-000165,Honey Crunch,Opening Stock,591.0,OPEN-PROD-000165,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000330,2026-07-20,PROD-000165,Honey Crunch,Stock Received,905.0,GRN-000330,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000331,2026-06-15,PROD-000166,Rich Chocolate,Opening Stock,1603.0,OPEN-PROD-000166,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000332,2026-07-03,PROD-000166,Rich Chocolate,Stock Received,1157.0,GRN-000332,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000333,2026-06-15,PROD-000167,Family Pack,Opening Stock,1855.0,OPEN-PROD-000167,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000334,2026-07-12,PROD-000167,Family Pack,Stock Received,423.0,GRN-000334,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000335,2026-06-15,PROD-000168,Classic Cream,Opening Stock,714.0,OPEN-PROD-000168,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000336,2026-08-04,PROD-000168,Classic Cream,Stock Received,275.0,GRN-000336,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000337,2026-06-15,PROD-000169,Cocoa Sandwich,Opening Stock,2000.0,OPEN-PROD-000169,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000338,2026-07-23,PROD-000169,Cocoa Sandwich,Stock Received,897.0,GRN-000338,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000339,2026-06-15,PROD-000170,Caramel Cream,Opening Stock,1621.0,OPEN-PROD-000170,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000340,2026-07-25,PROD-000170,Caramel Cream,Stock Received,635.0,GRN-000340,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000341,2026-06-15,PROD-000171,Honey Crunch,Opening Stock,585.0,OPEN-PROD-000171,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000342,2026-08-03,PROD-000171,Honey Crunch,Stock Received,488.0,GRN-000342,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000343,2026-06-15,PROD-000172,Family Pack,Opening Stock,1099.0,OPEN-PROD-000172,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000344,2026-07-10,PROD-000172,Family Pack,Stock Received,704.0,GRN-000344,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000345,2026-06-15,PROD-000173,Chocolate Delight,Opening Stock,1084.0,OPEN-PROD-000173,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000346,2026-08-05,PROD-000173,Chocolate Delight,Stock Received,831.0,GRN-000346,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000347,2026-06-15,PROD-000174,Cocoa Sandwich,Opening Stock,1295.0,OPEN-PROD-000174,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000348,2026-07-04,PROD-000174,Cocoa Sandwich,Stock Received,486.0,GRN-000348,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000349,2026-06-15,PROD-000175,Family Pack,Opening Stock,519.0,OPEN-PROD-000175,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000350,2026-07-17,PROD-000175,Family Pack,Stock Received,1083.0,GRN-000350,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000351,2026-06-15,PROD-000176,Butter Delight,Opening Stock,1228.0,OPEN-PROD-000176,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000352,2026-08-03,PROD-000176,Butter Delight,Stock Received,1200.0,GRN-000352,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000353,2026-06-15,PROD-000177,Milk Crunch,Opening Stock,1978.0,OPEN-PROD-000177,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000354,2026-08-12,PROD-000177,Milk Crunch,Stock Received,1157.0,GRN-000354,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000355,2026-06-15,PROD-000178,Cocoa Sandwich,Opening Stock,867.0,OPEN-PROD-000178,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000356,2026-07-10,PROD-000178,Cocoa Sandwich,Stock Received,744.0,GRN-000356,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000357,2026-06-15,PROD-000179,Strawberry Cream,Opening Stock,796.0,OPEN-PROD-000179,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000358,2026-08-12,PROD-000179,Strawberry Cream,Stock Received,435.0,GRN-000358,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000359,2026-06-15,PROD-000180,Rich Chocolate,Opening Stock,738.0,OPEN-PROD-000180,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000360,2026-07-02,PROD-000180,Rich Chocolate,Stock Received,1154.0,GRN-000360,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000361,2026-06-15,PROD-000181,Cocoa Sandwich,Opening Stock,1942.0,OPEN-PROD-000181,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000362,2026-07-21,PROD-000181,Cocoa Sandwich,Stock Received,104.0,GRN-000362,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000363,2026-06-15,PROD-000182,Chocolate Delight,Opening Stock,630.0,OPEN-PROD-000182,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000364,2026-07-25,PROD-000182,Chocolate Delight,Stock Received,853.0,GRN-000364,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000365,2026-06-15,PROD-000183,Honey Crunch,Opening Stock,942.0,OPEN-PROD-000183,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000366,2026-08-04,PROD-000183,Honey Crunch,Stock Received,1189.0,GRN-000366,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000367,2026-06-15,PROD-000184,Classic Cream,Opening Stock,1727.0,OPEN-PROD-000184,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000368,2026-08-05,PROD-000184,Classic Cream,Stock Received,608.0,GRN-000368,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000369,2026-06-15,PROD-000185,Rich Chocolate,Opening Stock,717.0,OPEN-PROD-000185,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000370,2026-07-13,PROD-000185,Rich Chocolate,Stock Received,768.0,GRN-000370,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000371,2026-06-15,PROD-000186,Cocoa Sandwich,Opening Stock,719.0,OPEN-PROD-000186,Main Warehouse,Demo Administrator,Initial demo stock
